signal_key_id,geo_key_id,time_type,time_value,issue,value,stderr,sample_size,lag,value_updated_timestamp,computation_as_of_dt,missing_value,missing_stderr,missing_sample_size
51,1921,day,20200423,20200621,0.0,,,59,1592664188,,0,5,5
50,4100,day,20200714,20200806,0.0,,,23,1596735892,,0,5,5
155,139,day,20201120,20201127,10.576281,,,7,1606522583,,0,5,5
69,1019,day,20200423,20200710,-2.142857142857143,,,78,1594305321,,0,5,5
2,1776,day,20210117,20210124,7.689605,,,7,1621027803,,0,5,5
66,2294,day,20200402,20200714,0.0,,,103,1594653987,,0,5,5
392,1670,day,20210316,20210318,7.447311,1.6736175,246.0799,2,1616068417,,0,0,0
65,2289,day,20200623,20200712,153.94703081791488,,,19,1594479975,,0,5,5
65,45,day,20200623,20200703,324.09180636987713,,,10,1593702593,,0,5,5
50,1228,day,20200531,20200710,0.0,,,40,1594306984,,0,5,5
2,1776,day,20210117,20210304,10.900236,,,46,1614902083,,0,5,5
48,588,day,20200530,20200601,1.0,,,2,1590940285,,0,5,5
73,440,day,20200506,20200718,0.14285714285714285,,,73,1595085873,,0,5,5
87,2590,day,20201205,20210118,510.6441947565543,19.120564140675096,267.0,44,1610997930,,0,0,0
41,1512,day,20200615,20201029,0.0,,,136,1604030788,,0,5,5
44,660,day,20200515,20201024,1.0,,,162,1603595607,,0,5,5
49,3107,day,20200610,20200814,0.0,,,65,1597417913,,0,5,5
49,808,day,20210221,20210322,113.0,,,29,1616424801,,0,5,5
66,663,day,20200606,20200803,4.014613192018949,,,58,1596466550,,0,5,5
69,4996,day,20200708,20200813,0.0,,,36,1597332954,,0,5,5
65,684,day,20200603,20200728,223.65315428859506,,,55,1595949664,,0,5,5
73,2074,day,20200411,20200806,0.0,,,117,1596734449,,0,5,5
51,4733,day,20200530,20200627,0.0,,,28,1593245534,,0,5,5
173,4645,day,20200418,20201228,0.214723,,,254,1609218513,,0,5,5
71,4698,day,20200331,20200704,0.0,,,95,1593789496,,0,5,5
48,1949,day,20200529,20200707,2.0,,,39,1594047181,,0,5,5
69,1268,day,20200608,20200713,0.14285714285714285,,,35,1594565730,,0,5,5
70,4914,day,20200423,20200807,0.0,,,106,1596813163,,0,5,5
2,1434,day,20210506,20210708,6.456042,,,63,1625784805,,0,5,5
51,4791,day,20200508,20200728,0.0,,,81,1595949297,,0,5,5
173,1630,day,20200321,20210105,0.025297,,,290,1609830213,,0,5,5
68,650,day,20200509,20200730,32.608695652173914,,,82,1596122237,,0,5,5
74,1656,day,20200521,20200812,0.0,,,83,1597245808,,0,5,5
65,965,day,20200501,20200714,25.358827407820666,,,74,1594652736,,0,5,5
175,2520,day,20210115,20210123,0.3030931874238819,0.0011285624488834769,7495.0,8,1611429219,,0,0,0
71,4653,day,20200429,20200725,0.0,,,87,1595689835,,0,5,5
24,806,day,20200617,20200807,2.196786,,,51,1596841236,,0,5,5
50,967,day,20200618,20200722,0.0,,,34,1595432171,,0,5,5
70,2626,day,20200831,20201030,13.169446883230902,,,60,1604113598,,0,5,5
69,1918,day,20200616,20200811,0.2857142857142857,,,56,1597159800,,0,5,5
68,280,day,20200506,20200707,50.941570019188,,,62,1594048018,,0,5,5
87,2590,day,20201205,20201227,510.6441947565543,19.120564140675096,267.0,22,1609115216,,0,0,0
49,1818,day,20200620,20200805,0.0,,,46,1596641288,,0,5,5
74,4515,day,20200423,20200718,10.047390190398044,,,86,1595086483,,0,5,5
